    HEIGHT   S0   S1   S2
     100.0   4.93877E-02   9.64600E-06   1.82639E-04
     110.0   2.41308E-01   6.34759E-05   2.29096E-04
     120.0   5.92739E-01   1.17688E-04   1.10264E-04
     130.0   1.24761E+00   8.23617E-05   2.88952E-05
     140.0   2.33743E+00   5.17765E-05   8.65748E-06
     150.0   3.84769E+00   3.39377E-05   3.10977E-06
     160.0   5.75301E+00   2.32033E-05   1.27681E-06
     170.0   7.98864E+00   1.62625E-05   5.74088E-07
     180.0   1.04973E+01   1.15981E-05   2.76480E-07
     190.0   1.41354E+01   9.71034E-06   1.64311E-07
     200.0   1.80867E+01   8.11436E-06   1.00428E-07
     210.0   2.20450E+01   6.65750E-06   6.11712E-08
     220.0   2.55561E+01   5.30894E-06   3.64435E-08
     230.0   2.85420E+01   4.10782E-06   2.12108E-08
     240.0   3.11940E+01   3.12023E-06   1.22477E-08
     250.0   3.36871E+01   2.36993E-06   7.15723E-09
     260.0   3.60554E+01   1.80324E-06   4.24120E-09
     270.0   3.83244E+01   1.37406E-06   2.54315E-09
     280.0   4.05148E+01   1.04858E-06   1.54106E-09
     290.0   4.26435E+01   8.01407E-07   9.42550E-10
     300.0   4.47245E+01   6.13501E-07   5.81382E-10
     310.0   4.67690E+01   4.68555E-07   3.58429E-10
     320.0   4.87850E+01   3.60072E-07   2.24472E-10
     330.0   5.07773E+01   2.77154E-07   1.41400E-10
     340.0   5.27323E+01   2.13718E-07   8.95695E-11
     350.0   5.45632E+01   1.65124E-07   5.70400E-11
     360.0   5.61649E+01   1.27843E-07   3.65089E-11
     370.0   5.76353E+01   9.91909E-08   2.34807E-11
     380.0   5.90675E+01   7.71284E-08   1.51710E-11
     390.0   6.04845E+01   6.01055E-08   9.84485E-12
     400.0   6.18920E+01   4.69434E-08   6.41512E-12
     410.0   6.32924E+01   3.67449E-08   4.19683E-12
     420.0   6.46877E+01   2.88259E-08   2.75611E-12
     430.0   6.60792E+01   2.26637E-08   1.81667E-12
     440.0   6.74682E+01   1.78582E-08   1.20174E-12
     450.0   6.88556E+01   1.41020E-08   1.00000E-12
     460.0   7.02422E+01   1.11593E-08   1.00000E-12
     470.0   7.16285E+01   8.84886E-09   1.00000E-12
     480.0   7.30149E+01   7.03114E-09   1.00000E-12
